tweet,intent,gold_reply,escalate,reason,human_correctness,human_helpfulness,human_brand_tone,human_groundedness,human_average_score
TestFlight crashing like a hell on iPad running iOS 11,app_store,We're here to help. Are you using iOS 11.0.3? You can verifiy this in Settings > General > About. Go ahead and DM us.,AUTO,High confidence app store (0.90) with standard resolution path,4,4,5,4,4.25
I have the 6s and everything went downhill when I downloaded iOS 11,software_update,We definitely want to help here. Give us more detail about when you see the battery depleting the most.,AUTO,High confidence software update (0.90) with standard resolution path,5,5,4,5,4.75
I love that since I updated to the new iOS that my battery lasts an like an hour. Especially after replacing the battery weeks ago,battery_issue,We'd be happy to look into this with you. Could you please send us a DM so we can gather some info?,AUTO,High confidence battery issue (0.90) with standard resolution path,5,4,5,5,4.75
I still have to enter my password for the App Store when I have Face ID on my iPhone X?! Thought my face was my password ?!,app_store,We'd be glad to look into this with you. Does this happen with every download? Let us know in DM to get started.,AUTO,High confidence app store (0.90) with standard resolution path,5,5,5,5,5.0
How do I go back to iOS 10 on my iphone? 11 is terrible! Phone keeps resetting.....,software_update,Thanks for reaching out to us. Going back to iOS 10 is not supported. Send us a DM so we can look into your issues together.,AUTO,High confidence software update (0.90) with standard resolution path,4,4,5,4,4.25
"Why isn t it possible to change the e-mail adress from my AppleID? Was created with gmail, now i want only icloud.",apple_id_login,We know how important your Apple ID is and we'd like to help. Please take a look at this article:,AUTO,High confidence apple id login (0.90) with standard resolution path,5,5,4,5,4.75
So that will make a iCloud back up,icloud_sync,"When you back up your iPhone to iCloud or iTunes, your iPhone backup will also include your Apple Watch data. Here's how to back up your iPhone with iCloud:",AUTO,High confidence icloud sync (0.90) with standard resolution path,4,4,5,5,4.5
do or any math majors or anybody wanna help me understand and explain what the fuck going on with my storage? is everything a scam? can we not get played for once? do a nigga need to get a galaxy? like what the fuck going on!,account_security,We'd be happy to look into your storage space with you. Send us a DM to get started.,ESCALATE,High-risk intent 'account_security' requires specialist intervention,5,4,5,5,4.75
The App Store not letting me download any apps,app_store,Thanks for reaching out. DM which iPhone and specific iOS version you are using so we can help.,AUTO,High confidence app store (0.90) with standard resolution path,5,5,5,5,5.0
Anyone else s iPhone Alarm app crash everytime they try set an alarm!? #howdoiwakeupforwork,app_store,That should not be happening. Let us help. Which iOS version are you using? You can check in Settings > General > About.,AUTO,High confidence app store (0.90) with standard resolution path,4,4,4,4,4.0
how can 11mins of safari use 40% of my battery? iPhone 7 iOS 11.1,battery_issue,"Hey, we'd like to gather some more details. Send us a DM and we'll work together from there.",AUTO,High confidence battery issue (0.90) with standard resolution path,5,5,5,5,5.0
I became a beta tester and some of the apps I rely on the most are buggy. Can you restore old iOS versions without using an old iCloud backup?,icloud_sync,"Absolutely, you can restore to the most recent public version of iOS. It requires you to restore the phone to factory settings and set it up as new though. Would you like us to assist you with that? If so, send us a DM.",AUTO,High confidence icloud sync (0.90) with standard resolution path,5,4,5,5,4.75
- reporting a facebook bug witl ios 11! The application close by it self!,software_update,Thank you for reaching out to us! Are you seeing this issue with any other apps at all or just the Facebook app?,AUTO,High confidence software update (0.90) with standard resolution path,4,4,4,5,4.25
T-Mobile could activate the cellular service due to the esim being linked to another number. I am just so furious. How can I get a used one?,device_setup,We're happy to look into this situation for you. Join us in DM to get started:,AUTO,High confidence device setup (0.90) with standard resolution path,5,5,5,5,5.0
me too. lost all my imessages too. my icloud backups all deleted too,icloud_sync,Let's help take a closer look in recovering that content. Please DM us and we can go from there.,ESCALATE,Sensitive keyword 'lost' detected in customer message,5,5,5,5,5.0
I m still unable to change my Apple ID from to I want to use my alias address,apple_id_login,We want to help out. Let's take a look here:,AUTO,High confidence apple id login (0.90) with standard resolution path,4,4,5,4,4.25
"Hello, I'm planning to buy Iphone X from apple store and i have a trip to Europe - Bulgaria. There is a One-time payment option which says Unlocked iPhone with Sprint SIM for 999. Will I be able to use the phone with Telenor sim?",billing_refund,Hi there. We've received your DM. We will follow up with you there shortly.,ESCALATE,High-risk intent 'billing_refund' requires specialist intervention,5,5,4,5,4.75
where is MY DELIVERY??? SCAM! Letting know ur CO scams them as well. No delivery. Will cx order with Apple BC of You!,account_security,"Thanks for reaching out. For issues with an order, connect with our Apple Online Store support here:",ESCALATE,High-risk intent 'account_security' requires specialist intervention,5,4,5,5,4.75
"I m having serious issues with iCloud notes. A critical note of mine is showing up as an ancient version of it. And to further confuse things, it s one older version on and a different older version on my phone, but neither are correct.",icloud_sync,"Thanks for reaching out. We know how important your notes are. We want to help. Are you signed into the same Apple ID? If you go to on a computer, do you see the current version of the note?",AUTO,High confidence icloud sync (0.90) with standard resolution path,4,4,5,4,4.25
please fix iOS 11 already. I have an 8 Plus and the performance is just ridiculous,software_update,We want to help. What specifically is going on with your 8 Plus?,AUTO,High confidence software update (0.90) with standard resolution path,5,5,4,5,4.75
