tweet,intent,gold_reply,escalate,reason
I became a beta tester and some of the apps I rely on the most are buggy. Can you restore old iOS versions without using an old iCloud backup?,icloud_sync,"Absolutely, you can restore to the most recent public version of iOS. It requires you to restore the phone to factory settings and set it up as new though. Would you like us to assist you with that? If so, send us a DM.",AUTO,High confidence icloud sync (0.90) with standard resolution path
did the latest update and Hey Siri still doesn t work on my iPhone X,software_update,"Hey there! Thank you for contacting us for support. We'd liked to lend a hand. Could you tell us which iOS version you're using? Also, have you tried any troubleshooting steps so far?",AUTO,High confidence software update (0.90) with standard resolution path
Since this #update the battery on my 6 has be horrible,battery_issue,Help is on the way. Do certain activities affect the battery more than others or has battery life decreased in general?,AUTO,High confidence battery issue (0.90) with standard resolution path
"after update to 11.0.3 battery drains quite fast, and network performance is bad especially for data and WiFi. Am on iPhone 6S",battery_issue,Thanks for reaching out. We can help. Let's meet up in DM so we can look into this together.,AUTO,High confidence battery issue (0.90) with standard resolution path
I was doing the 11.1 update and I placed my phone on the charger while it was updating. I heard a cracklings during the update. It did not happen before or after. I just hope it didn t damage the phone.,charging_issue,"Have you updated to iOS 11.1.1? If so, did you hear the sound again? Please let us know in DM.",AUTO,High confidence charging issue (0.90) with standard resolution path
what options are there if you have lost your phone but can t find my iPhone as you ve forgotten your iCloud password?,icloud_sync,"Your Apple ID password is used to log into iCloud. Try resetting your Apple ID password using the link here: Once you've done that, you should be able to get into your iCloud account on a computer to locate it using Find My iPhone.",ESCALATE,Sensitive keyword 'lost' detected in customer message
will I get any money back if I cancel AppleCare+ after having it for a year? In the UK!,billing_refund,That's a good question! This article will explain how the refunds work for AppleCare:,ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
"I need help, I can t update any apps until I fix my billing info, it s telling me my card number is invalid",billing_refund,Please reach out to our iTunes Billing Support here:,ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
My iPhone discharge the battery faster with that update....,battery_issue,"We understand how important battery life is to your device. Let s take a closer look at this in DM. Send us your current iOS version, and we ll work with you there.",AUTO,High confidence battery issue (0.90) with standard resolution path
"Have there been many issues with the 8+ freezing, waking up to screen not working, apps crashing, and video/photo editing? Mine definitely has. I upgrade to the 8+ the day it was released (from a 5c). It was an awesome upgrade. However, these issues are not so great",app_store,We're here for you and we want to get this sorted. Please DM us the version of iOS you're using under Settings > General > About and we can go from there together.,AUTO,High confidence app store (0.90) with standard resolution path
"I preordered my phone today, when will my credit card be charged? It says delivery Dec 5-11th.",billing_refund,"We're excited for you! For sales related questions, please reach out to our Online Sales team here:",ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
Hi is this a scam email? Assuming yes,account_security,This doesn't appear to be a valid email from Apple. More information can be found here:,ESCALATE,High-risk intent 'account_security' requires specialist intervention
Say hello to activation server errors.,device_setup,Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together.,AUTO,High confidence device setup (0.90) with standard resolution path
Why is my iPhone SE not finding the iOS11 update? Says iOS 10.3.2 your software is up to date. I am not using ios beta as well,software_update,We'd like to help! Send us a DM with the country that you are located in to continue.,AUTO,High confidence software update (0.90) with standard resolution path
My airpods were working fine yesterday and then when i went to go listen to music on then today there was no light on the inside of the case and they didn t connect to my phone I ve had these for just over 1 month,device_setup,Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together.,AUTO,High confidence device setup (0.90) with standard resolution path
Is someone really trying to get into my apple id as it gives me notification twice or thrice in a particular day even if i am not using my device to sign into any of the services..kindly look into this,apple_id_login,"Thanks for reaching out to us today. We completely understand your concern with this message, and want to work with you further on this. To start, reach out to us in DM using the link below and we'll continue from there.",AUTO,High confidence apple id login (0.90) with standard resolution path
How many times the passcode should crash with iPhoneX? For me its atleast 20-35times!,apple_id_login,We're here for you. Join us in DM. We'll pick up there:,AUTO,High confidence apple id login (0.90) with standard resolution path
"Yes, charging works properly with a USB-A cable",charging_issue,"Just to check, you don't receive any messages about an unsupported accessory?",AUTO,High confidence charging issue (0.90) with standard resolution path
I always have my Bluetooth turned off but after iOS 11 it automatically turns on and turns my car stereo on everytime I start my car,device_setup,Have you had a chance to review the article that was provided? Please let us know.,AUTO,High confidence device setup (0.90) with standard resolution path
please help me out guys. Link in the invoice receipt is not working for me to report.,billing_refund,You'll need to speak with iTunes Store support. Use the link we shared to find your options for speaking with them.,ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
iTunes couldn t activate/backup my friend s iPhone. Error 0xE8000013 displayed. Refer below:,device_setup,We want to make sure your friend gets the help they need. Have them reach out to us so we can work with them directly.,AUTO,High confidence device setup (0.90) with standard resolution path
How you unlock someone's icloud out your phone.. if they don't remember there intimation at all,icloud_sync,"We'd like to help. If that person needs their account reset, have them do so with these steps:",AUTO,High confidence icloud sync (0.90) with standard resolution path
"is the App Store down? I can t download or update any apps, the circle keeps spinning and I ve been trying for over 12 hours",app_store,Thanks for reaching out. Let's take a closer look together. Does this happen over both Wi-Fi and cellular data?,AUTO,High confidence app store (0.90) with standard resolution path
if I want to trade in my iPhone which still has AppleCare+ can I get a refund for that or do I have to just give it up?,billing_refund,Thanks for reaching out. This article has more details on requesting a refund:,ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
Get just received an email for a purchase I did not make.. this looks dodgy as it now wants me to log in.. please check,apple_id_login,Thanks for reaching out. This article covers how to identify and report those types of communications:,AUTO,High confidence apple id login (0.90) with standard resolution path
what happen to find my iphone on icloud site ?,icloud_sync,Let us know the issues you're having with Find My iPhone and we'll continue from there.,AUTO,High confidence icloud sync (0.90) with standard resolution path
"I m using iPhone 6s 64GB after updating iOS 11 & 11.1.1 the battery life is not good, it get low and low. If this type of critical problems comes with iPhone then why should people buy such expensive iPhone.",battery_issue,Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together.,AUTO,High confidence battery issue (0.90) with standard resolution path
why is my iphone 7+ with the new update changing I's to A's / question marks??? SOS,software_update,Congratulations on your new iPhone! Join us over in DM and tell us the exact version of iOS you're using and we'll take a look.,AUTO,High confidence software update (0.90) with standard resolution path
Seems pretty silly to require two-factor verification with a persons cell phone when THE REASON I NEED SUPPORT IS THAT MY PHONE DOESN'T WORK. I can't make a reservation to FIX it or even chat with support because YOU REQUIRE ME TO HAVE A FUNCTIONING PHONE TO SIGN IN,apple_id_login,"We want to help get you to the right place for support for this, and we'll do all we can to help. To get started, connect with our account security team here:",AUTO,High confidence apple id login (0.90) with standard resolution path
why is my iPhone 8 Plus battery literally lasting like 3 hours?,battery_issue,We'd be happy to assist with your battery today. Send us a DM to get started.,AUTO,High confidence battery issue (0.90) with standard resolution path
any solution you find ?? Still 11.0.3 version my phone system is slow after this update,software_update,We'd like to help however we can. Send us a DM and we can work with you from there.,AUTO,High confidence software update (0.90) with standard resolution path
Hey . This I error is a pain in the ass. Update soon?,software_update,Here s what you can do to work around the issue until it s fixed in a future software update:,AUTO,High confidence software update (0.90) with standard resolution path
Mi iPhone tiene desde ayer sin querer entrar al #AppStore ni al #itunes Heeeeeelp!!! #Apple #iPhone,app_store,We offer support via Twitter in English. Get help in Spanish here: or join,AUTO,High confidence app store (0.90) with standard resolution path
Dear ; I'm having App Store problems AND you're not responding to my emails.,app_store,"We want to help. In DM could you please share a few details with us about what you're experiencing? Also, which software version are you using on your Mac?",AUTO,High confidence app store (0.90) with standard resolution path
"I ve completely reset my iPad but it s asking me for a sign in to get back into the device which I don t know, what can I do?",apple_id_login,We ve received your DM and will continue there shortly. Thank you for your patience.,AUTO,High confidence apple id login (0.90) with standard resolution path
Hate the fact that my play count on isn't working with this new update! Hope it is fixed soon! #iTunes #iTunesproblem,software_update,We'd like to help. Are you using Mac or PC? Please reply in DM.,AUTO,High confidence software update (0.90) with standard resolution path
Thanks for the reply. None of the native apps are working. Just don t open. PLUS I can t update ANY app from App Store.,app_store,"So you tap on an app, like Settings or Safari, and it will not open at all? Does restarting your iPhone have any impact on this issue?",AUTO,High confidence app store (0.90) with standard resolution path
"Did the Santa Monica, CA Promenade store make phone calls to local customers about a breach in their iCloud accounts? I received four calls today with an automated voice saying to call an 855 phone number.",account_security,Hey there. Thanks for reaching out to us. We are always happy to help. Those calls were likely phishing attempts. You can learn more here:,ESCALATE,High-risk intent 'account_security' requires specialist intervention
I found a link where someone explained it. It s just the password to log in to your comp. No idea that was an iCloud password.,apple_id_login,We're glad to hear you were able to get this figured out! If you need anything else just message us again.,AUTO,High confidence apple id login (0.90) with standard resolution path
"Ever since I ran the updates, my iPhone and iPad keep crashing. I need both for work and this is now costing me time & money. Are you going to fix it, or give refunds? #AppleSupport",billing_refund,"We'd like to partner with you and look into what's causing the crashing you're seeing. So that we know where we're starting, can you tell us which iPhone and iPad you're using as well as the iOS version on each by going to Settings > General > About > Version?",ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
So that will make a iCloud back up,icloud_sync,"When you back up your iPhone to iCloud or iTunes, your iPhone backup will also include your Apple Watch data. Here's how to back up your iPhone with iCloud:",AUTO,High confidence icloud sync (0.90) with standard resolution path
"how do I transfer all my pictures and videos to my new iPhone, everything else has transferred fine apart from them.",device_setup,Let's look into that. Send us a DM and we'll go from there.,AUTO,High confidence device setup (0.90) with standard resolution path
"It is currently in Lost Mode...by offline, do you mean that somebody turned the power off?",account_security,"It could be turned off or have no active cellular connection, if a Series 3 Apple Watch. You can find further details about this under 'If you don't see your Apple Watch on the map' in the article we posted to you.",ESCALATE,High-risk intent 'account_security' requires specialist intervention
"I have a problem with the iPhone X battery, when I charge it .. Charging for very little time. What is the solution?",charging_issue,"We'd like to help. Is your phone not charging or charging slowly? Also, what iOS version are you running? You can check in Settings > General > About",AUTO,High confidence charging issue (0.90) with standard resolution path
I m still unable to change my Apple ID from to I want to use my alias address,apple_id_login,We want to help out. Let's take a look here:,AUTO,High confidence apple id login (0.90) with standard resolution path
"Really mad at how much update from Apple has messed up my phone. Not charging, or just flashing to loading screen!",charging_issue,We're here to help. Can you DM us the model iPhone you're using and more details?,AUTO,High confidence charging issue (0.90) with standard resolution path
Thanks but no improvement. Super slow charging. Not yet gone above 22% where as I'd usually see it climb before my eyes.,charging_issue,Thanks for following up. Send us a DM so we can look into this with you there.,AUTO,High confidence charging issue (0.90) with standard resolution path
I just did the recent update... now my phone automatically the dimness brightens and turns WiFi and Bluetooth on aswell.,device_setup,"To adjust Auto-Brightness, check here: and to turn off Wi-Fi and Bluetooth:",AUTO,High confidence device setup (0.90) with standard resolution path
"The payment method I use is debit card, and it has been working fine up until I updated today. All the details and such are correct, do I need to have money available for it to work? Even if I m not purchasing anything at this time?",billing_refund,"That's a great question. If you change your payment method to a credit card, the iTunes Store places a temporary authorization hold on your credit card to verify your updated account information. You can learn more here:",ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
me too. lost all my imessages too. my icloud backups all deleted too,icloud_sync,Let's help take a closer look in recovering that content. Please DM us and we can go from there.,ESCALATE,Sensitive keyword 'lost' detected in customer message
TestFlight crashing like a hell on iPad running iOS 11,app_store,We're here to help. Are you using iOS 11.0.3? You can verifiy this in Settings > General > About. Go ahead and DM us.,AUTO,High confidence app store (0.90) with standard resolution path
where is MY DELIVERY??? SCAM! Letting know ur CO scams them as well. No delivery. Will cx order with Apple BC of You!,account_security,"Thanks for reaching out. For issues with an order, connect with our Apple Online Store support here:",ESCALATE,High-risk intent 'account_security' requires specialist intervention
Anyone else s iPhone Alarm app crash everytime they try set an alarm!? #howdoiwakeupforwork,app_store,That should not be happening. Let us help. Which iOS version are you using? You can check in Settings > General > About.,AUTO,High confidence app store (0.90) with standard resolution path
"Soo .. Wassup with this update? The app store doesn t work correctly and it keeps asking me to sign over, and over, and over.. well .. you get it..fix it please .. thank you .. This 8 Plus costs too much to be having these issues",app_store,We'd be happy to assist with your App Store today. Send us a DM to get started.,AUTO,High confidence app store (0.90) with standard resolution path
Why did I update my phone & I m still seeing question marks? Why is Siri not working? Why is my App Store not downloading things?,app_store,We want to get your phone up and running as you expect it to be. Let's take a look to see what we can solve in DM,AUTO,High confidence app store (0.90) with standard resolution path
The battery on my phone has been soooo bad since installing iOS 11.2 surely you re at the wind up not cool,battery_issue,We'll do everything we can to assist with this battery issue. Are you running the beta of iOS 11.2 or the current general release of 11.1.2?,AUTO,High confidence battery issue (0.90) with standard resolution path
"i just got this iPhone and it came with broken headphones. Get it together , i want a refund.",billing_refund,That's unexpected. Let us help. Send us a DM so we may gather more details.,ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
So is at again. New iPhone update has slowed everything down. No Apple I don t want a new phone stop throttling the old phones.,device_setup,We'd like to look into this with you. What kind of iPhone do you have? What is your current iOS version?,AUTO,High confidence device setup (0.90) with standard resolution path
Thanks so much but I think it s not suitable for my case. I m trying to know if I could use an iCloud email alias as my Apple ID (1 of 2),apple_id_login,You can t use an alias to sign in to and you can t use an alias to create a separate Apple ID.,AUTO,High confidence apple id login (0.90) with standard resolution path
Updated my iPhone this afternoon and my phone is either draining really quick or really warm while charging,charging_issue,We will do our best to help with this. Have you tried adjusting the settings with these tips:,AUTO,High confidence charging issue (0.90) with standard resolution path
"I have the same issue on 11.1.2. I ve tried resets, reset, erase and restore from iCloud twice. Still happening. Please tell me a manual install from scratch isn t the fix",icloud_sync,Sounds like you've already taken some really great troubleshooting steps. Let's partner together on this. Send us a DM to get started.,AUTO,High confidence icloud sync (0.90) with standard resolution path
Dear 'ios11 sucks for iPhone 6' is a beautiful understatement. May constant crashes n horrible battery drain bug u 2!,battery_issue,"Join us in DM, and we'll help with your iPhone. We know how important it is to have it working as it should!",AUTO,High confidence battery issue (0.90) with standard resolution path
I still have to enter my password for the App Store when I have Face ID on my iPhone X?! Thought my face was my password ?!,app_store,We'd be glad to look into this with you. Does this happen with every download? Let us know in DM to get started.,AUTO,High confidence app store (0.90) with standard resolution path
do charging cables have warranty? (The one that came with the phone),charging_issue,Great question. The Apple Limited Warranty covers your product and Apple-branded accessories against manufacturing defects for one year from the date you bought them. Are you having an issue with your iPhone charger?,AUTO,High confidence charging issue (0.90) with standard resolution path
Same here . Apple s terrible iOS update is wasting my battery and it s not okay. Still waiting for the iOS fix.......,battery_issue,"Battery life is important, and we d like to assist. Are you using iOS 11.0.3? Let us know the answer in DM.",AUTO,High confidence battery issue (0.90) with standard resolution path
Why tho? . Every other cloud service lets you sync 100% with PC,icloud_sync,"We appreciate your feedback. To have your voice heard, please submit them here:",AUTO,High confidence icloud sync (0.90) with standard resolution path
The App Store not letting me download any apps,app_store,Thanks for reaching out. DM which iPhone and specific iOS version you are using so we can help.,AUTO,High confidence app store (0.90) with standard resolution path
I m facing UI lag on Apple iPad Pro 10.5 after iOS 11.1 not smooth as iOS 10.3.3 this is my new iPad I wish I should have stayed on iOS 10,device_setup,Let's get to the bottom of this. Have you noticed this in any specific app or screen? Let's meet in DM to continue.,AUTO,High confidence device setup (0.90) with standard resolution path
"Hello, I'm planning to buy Iphone X from apple store and i have a trip to Europe - Bulgaria. There is a One-time payment option which says Unlocked iPhone with Sprint SIM for 999. Will I be able to use the phone with Telenor sim?",billing_refund,Hi there. We've received your DM. We will follow up with you there shortly.,ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
my phone i jackshit slow after the upgrade,software_update,Thanks for contacting us. This is not an experience we want you to have. Could you please tell us which iOS version you're on?,AUTO,High confidence software update (0.90) with standard resolution path
"I have been getting strange emails about ""unauthorized sign-in"", etc. Do you have a email address I can forward these to?",account_security,We'd love to help with this! We do have an email address to which you can send fraudulent emails. This link has more information about that:,ESCALATE,High-risk intent 'account_security' requires specialist intervention
Can we expect substantial bug fixes?Or the option to downgrade?I can trade in the good looks for my battery life and phone that doesn t hang,battery_issue,We'd like to look into the issues you're having. Please DM us more about what's happening.,AUTO,High confidence battery issue (0.90) with standard resolution path
"Hey , I have a problem to receive your SMS to verify my phone number on my apple ID and for two steps verification. HELP ! DM ?",apple_id_login,Hey David. We'd like to help out and believe this will provide you more details: DM us if needed.,AUTO,High confidence apple id login (0.90) with standard resolution path
"morning, up early working and my MacBook charger seemed exceptionally hot, too hot.....the wire melted and has just come away?",charging_issue,We can assist you. Send us a DM using the following link and we'll go from there:,AUTO,High confidence charging issue (0.90) with standard resolution path
i'm still waiting for my refund,billing_refund,We'd love to help and get you pointed in the right direction for help with your refund. Please DM us and let us know more about this refund request.,ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
Hi - I updated my phone software last week but since then the battery life is awful. It has halved! What do I do?,battery_issue,We'll be happy to see how we can help. Can you tell us which iPhone you're using?,AUTO,High confidence battery issue (0.90) with standard resolution path
i left my phone to sleep 7 hours ago. with my phone battery 58% to 20% in airplane mode. screw u ios 11.2.1 can u tell me why?,battery_issue,We know how important battery life is and we'll do everything that we can to assist you with this. Please click here to join us in DM. We'll pick up there:,AUTO,High confidence battery issue (0.90) with standard resolution path
T-Mobile could activate the cellular service due to the esim being linked to another number. I am just so furious. How can I get a used one?,device_setup,We're happy to look into this situation for you. Join us in DM to get started:,AUTO,High confidence device setup (0.90) with standard resolution path
"Ever since I updated this iPhone it s been as slow as a snail, apps crashing and constantly freezing. Sort it out",app_store,We'd like to help. Which exact iOS version did you update to? Let us know in DM.,AUTO,High confidence app store (0.90) with standard resolution path
"iPhone 7, 11.1. the phone doesn't seem to be charging half the time when it's plugged in.",charging_issue,"We know how important it is to be able to charge your iPhone, and we want to help. Let's start by trying the steps here: Please let us know if you're still having trouble charging.",AUTO,High confidence charging issue (0.90) with standard resolution path
It quits right away and yes. Also logged out of Apple ID also deleted the app and re downloaded,apple_id_login,Let's go ahead and meet in DM and we'll continue to look into this.,AUTO,High confidence apple id login (0.90) with standard resolution path
is this a legitimate email from you guys or a scam. I haven't opened the pdf.,account_security,It's great that you're being cautious. We can verify this isn't an authentic email from Apple by the sender address and content of the message. We've got a helpful guide to share with you to identify and report such fraudulent emails:,ESCALATE,High-risk intent 'account_security' requires specialist intervention
BRUH I BEEN CHARGING MY PHONE SINCE I LEFT PHILADELPHIA AND IM STILL ON 1 FIX YA SHIT,charging_issue,We'd like to get more details on how you're charging and using your iPhone to assist you further. Let's meet up in DM to discuss.,AUTO,High confidence charging issue (0.90) with standard resolution path
"Hey not sure if you heard, but the #iPhoneX came out today. Maybe fix the activation server? Now, please.",device_setup,Let's work together to your iPhone X activated so you can start enjoying it. Let us know in what country you're located to start.,AUTO,High confidence device setup (0.90) with standard resolution path
my App Store is not working on my 8 plus. Won t let me update or download Tried restarting,app_store,We'd like to help get the App Store working right on your new iPhone. What exactly happens when you try to open it?,AUTO,High confidence app store (0.90) with standard resolution path
browsing Facebook linked stories - is this a scam?,account_security,We're glad you asked. This does appear to be a phishing attempt. Check this out:,ESCALATE,High-risk intent 'account_security' requires specialist intervention
"Dear , iOS 11.0.3 sucks. Phone freezes and restarts and then some. Please fix it.",software_update,We'd like to help with this. Please send us a DM with what country you're located in and we'll get started.,AUTO,High confidence software update (0.90) with standard resolution path
Can t access my iCloud account as it s connected to my old number and bank details what can I do??,icloud_sync,Thanks for reaching out. We'd like to take a look into this. Please send us a DM with any additional information.,ESCALATE,Sensitive keyword 'bank' detected in customer message
Receiving strange emails regarding a Netflix account which I don t have including invoices?! Is this a scam?,account_security,This article has more details on how to identify and report those types of communications:,ESCALATE,High-risk intent 'account_security' requires specialist intervention
Yes. And I can t download apps from the App Store either.,app_store,Good to know. Does this happen on multiple Wi-Fi networks?,AUTO,High confidence app store (0.90) with standard resolution path
"It doesn't turn on or operate at all. Not even on a hard restart or by plugging in I had been having trouble with CarPlay recognizing it, and then this evening it just didn't wake up at all.",device_setup,That's definitely not normal and we can help. Could you Direct Message us and let us know what country or region you're located in?,AUTO,High confidence device setup (0.90) with standard resolution path
All this update has done is break my phone! Won't even switch on :(,software_update,We'd like to help you get your device back up and running. Can you DM us the device you're using?,AUTO,High confidence software update (0.90) with standard resolution path
what the hell is that WiFi and Bluetooth shortcut? It s always searching a network which is we everytime goin settings to close it. helal,device_setup,"We'd like to help. Are you referring to the Wi-Fi and Bluetooth controls in the control center? If so, this article may help explain this behavior:",AUTO,High confidence device setup (0.90) with standard resolution path
what is the email address for your fraud team? Have received a dodgy email pertaining to be from you. Thanks,account_security,Thanks for reaching out. Take a look here for more info on reporting phishing emails:,ESCALATE,High-risk intent 'account_security' requires specialist intervention
my App Store won t let me download app I ve already downloaded,app_store,Which device are you using and what happens when you attempt to download from the App Store? We look forward to working with you!,AUTO,High confidence app store (0.90) with standard resolution path
Soooo I have to wait until my subscription renews to listen to my music now??,billing_refund,We're currently working on resolving issues with Apple Music. DM us questions or check here for updates:,ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
ios11 update is terrible.My phone is so slow now. You can t tell if you ve taken a screen shot until there are three in your pictures,software_update,"We're happy to help. Can you tell us the specific iOS version you're currently using, please?",AUTO,High confidence software update (0.90) with standard resolution path
"It's like a bug, locks in 87% and don't have a full load, the lightning bolt icon still charging forever, i don't know what to do.",charging_issue,Thanks for letting us know. Let's investigate further. DM us specifics and we can get started.,AUTO,High confidence charging issue (0.90) with standard resolution path
why does the Bluetooth turn itself on after I take my phone off airplane mode?,device_setup,Thanks for reaching out. Is Bluetooth turned off before enabling Airplane Mode? Let us know in DM.,AUTO,High confidence device setup (0.90) with standard resolution path
How do I get a refund on the iCloud? It says I can get a refund within 15 days.,billing_refund,Hi there! Our iTunes Store team would be happy to look into this with you. Reach out to them here:,ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
My Iphone 128GB is in Activation Lock right now. I Forgot my Apple ID & Password. Please Help me...,account_security,"Thanks for reaching out. For steps to regain access to your Apple ID, check out the following:",ESCALATE,High-risk intent 'account_security' requires specialist intervention
Hello . How do I fix - There was an error connecting to the Apple ID server when signing into ?,apple_id_login,"Hey there, let's figure this out together. Try the steps in this article, and let us know the result:",AUTO,High confidence apple id login (0.90) with standard resolution path
I updated my phone now & all of the sudden it doesn t support my charger. So it s gonna be like that,charging_issue,We can get to the bottom of this together. Are you using the Apple charger that came with your iPhone or a third-party one?,AUTO,High confidence charging issue (0.90) with standard resolution path
probleme de clavier ( tellement lent et decaler) depuis la migration vers IOS11 avec mon iphone 5S,device_setup,We offer support via Twitter in English. Contact us for help in your preferred language here:,AUTO,High confidence device setup (0.90) with standard resolution path
That sort of misses my point. I don't want to need iCloud at all. I'm often without data and want to not need data to access my stuff.,icloud_sync,We d be happy to go through each iCloud setting with you. Let us know which version of iOS you re running in DM. We ll continue with you there.,AUTO,High confidence icloud sync (0.90) with standard resolution path
just got my iPhone X and trying to unlock via my carrier and they are saying it's flagged for fraud help please,account_security,We'd like to look into this situation with you. Send us a DM and we'll get started.,ESCALATE,High-risk intent 'account_security' requires specialist intervention
really hate the way you badically bricked my iPhone 6 when the new phones came out so I would have to upgrade. Phone works like shit now and I m starting to hate Apple.,software_update,We want to help you get back to enjoying your iPhone 6. Reach out via DM using the link below and let us know what version of iOS you have installed. You can check by tapping Settings > General > About.,AUTO,High confidence software update (0.90) with standard resolution path
", my new iPhone X was lost by i need a new one! You guys don t use fedex to ship do you? Wondering if i need a retail shop?",device_setup,We're here to help. Please meet us in DM and we'll assist you further from there.,ESCALATE,Sensitive keyword 'lost' detected in customer message
how can 11mins of safari use 40% of my battery? iPhone 7 iOS 11.1,battery_issue,"Hey, we'd like to gather some more details. Send us a DM and we'll work together from there.",AUTO,High confidence battery issue (0.90) with standard resolution path
"I m having serious issues with iCloud notes. A critical note of mine is showing up as an ancient version of it. And to further confuse things, it s one older version on and a different older version on my phone, but neither are correct.",icloud_sync,"Thanks for reaching out. We know how important your notes are. We want to help. Are you signed into the same Apple ID? If you go to on a computer, do you see the current version of the note?",AUTO,High confidence icloud sync (0.90) with standard resolution path
"Hello, all my services work but I always get this notification and will never actually sign in despite all services working. What gives?",apple_id_login,We are here to help. What happens after you enter your password and try to sign in? Do you receive any error messages?,AUTO,High confidence apple id login (0.90) with standard resolution path
"yo my app store wont work , im gettin mad",app_store,"Thanks for reaching out. We're here to help. Please tell us more about what issue you're having with it, what device it's on, and what OS is installed. Then we'll get busy seeking a solution for you.",AUTO,High confidence app store (0.90) with standard resolution path
How my phone dying while it's on the charger???,charging_issue,That's certainly not what we would expect. We'll be happy to assist as best we can. When did this start happening?,AUTO,High confidence charging issue (0.90) with standard resolution path
