tweet,gold_reply,intent
WhatsApp notifications not working on iPhoneSE after upgrade to iOS11. needs to fix. Already un/reinstalled.,We'd be happy to review this for you. Are you experiencing this issue on the latest version of iOS 11.0.3?,software_update
"It did not help a bit. Verified my payment information, I still can't download free apps. Makes no sense.",We'd recommend reaching out to one of our iTunes Advisor's to further assist with this here:,billing_refund
Agreed.. I updated my I phone & now my battery life is friken 2 hours..,We'd like to look into this. Please share with us in DM the exact iOS version your iPhone is running when this started.,battery_issue
"hello there called apple hotline and asked me to backup and erase my iphone. After restoring, I can't log onto iCloud.. can someone help?","We can definitely partner with you to help get you signed in to iCloud. To help isolate the issue, do you get an error message when trying to sign in?",icloud_sync
"I don't get this screen on my itunes for windows. Hence I cannot sync my ripped music to icloud, iphone and other i-devices. Home sharing isn't good enough! Help",We'd like to assist with this. Which version of iTunes are you using? What Windows version are you running as well?,icloud_sync
"my MacBook and iPhone X stopped syncing iMessages, can t send or receive on MacBook but iPhone is working fine.","Thanks for reaching out to us about this. The steps in this article under the ""Send text messages to anyone from your Mac"" section can help. Please DM us if the issue continues.",icloud_sync
Purchased from iTMS. Not streaming. No Apple Music or ITunes Match. iPhone 8 running iOS 11.1.2 (15B202) Just one song affected in the middle of otherwise OK album. Deleting and re-downloading doesn t help. Deleting and streaming doesn t work. Song OK on Mac & iPad.,Thanks for following up. Send us a DM so we can look into this with you there.,software_update
i need to book an appointment in a store to pre order the X on the iPhone payment plan not the upgrade. But no one is helping.,Have you tried reaching out to our Online Sales Support team about this request? You'd reach out here:,billing_refund
I can't get anyone to call me to resest my Apple ID?! Isn't working when I try online and I'm completely locked out of my phone - please help!!,"Hi, here's an article with the information that you can use to help: If the information in that article does not help, please reach out to our Account Security team for further assistance. Here's how:",apple_id_login
My battery percentage is going down instead of increasing anyone know what I can do I have the iPhone 8+ #apple #iPhone8Plus #iPhone8,That's not the experience we'd want you to have. Send us a DM with the country that you are located in to continue.,battery_issue
My brand new iphone X cell phone has a green line on the screen at right hand side... so what is this and what to do,We'd like to look into this with you. Send us a DM including the country you're located in. We'll continue there.,device_setup
looks like someone in support should be able to reset Apple ID #6 weeks still waiting,Did you request Account Recovery for your Apple ID? Check out this link to learn how to check the status:,apple_id_login
"I've been completely locked out of my Apple/iCloud ID for almost a month! FaceCime, iCloud, iTunes, email, everything (Case 100339492735). I have an iPhone X 256GB arriving today that I won't be able to setup. Questioning why. My ID is fine BTW. #timeforandroid?",Congratulations on your iPhone X; how exciting! Meet up with us in Direct Message by clicking the link below. We'd like to research this more with you today.,icloud_sync
"Since couple of hours, my iPhone stucks after entering the (4) last digit for passcode. It stucks and reboots.","We know how essential it is to be able to unlock and use your iPhone. To confirm, the iPhone restarts on its own? Please DM us:",apple_id_login
"No sound for incoming calls, texts, notifications after updating to iOS 11.0.3 on my iPhone 6S Plus. Worst iOS ever #apple",That's certainly not expected. Let's partner together to get sound working properly. Have you tried restarting normally yet?,software_update
"Dis , tu comptes le corriger un jour, ce m chant bug de iOS 11 ?",We offer support via Twitter in English. Contact us for help in your preferred language here:,software_update
"Just updated my IOS on my iPhone, the battery life is appalling!",Let's chat over in Direct Message. We'll work with you to see what's causing the battery life to be shorter than expected.,battery_issue
Downloaded the new OS to my MacBook Air and now iCloud sign in doesn't work an either the MacBook Air or the Mac Desktop. Help?,"Thanks for reaching out. May we ask when you updated the MacBook Air? Also, which macOS/OS X version is your other Mac using?",apple_id_login
My Bluetooth connection to any speaker sucks,We know how important good sound quality is. Let s begin by restarting your iPhone following these steps:,device_setup
"Is #OSX becoming #Windows? Now I HAVE to restart the system to see the actual status of Time Machine backup, or to be able to download some #iCloud files periodically. Dear , #WTF? Where is my stable OS for work now? #macOS #macOSHighSierra #bugs",We know how critical Time Machine backups are to ensuring your data is secure. We'd be happy to look into this with you. Can you DM us the exact version of macOS running?,icloud_sync
battery stuck% while charging after ios 11.0.3 update on 6s & Shows 100% after restarting.#ios11,We want to look into this with you. DM us using the link below and let us know details of what's happening.,charging_issue
"Yes, it vibrates when phone is unlocked but I am talking about when phone is locked and charging and somebody tries chatting at 5am","Restart your iPhone and see if that has any impact on the issue. If not, DM us which iOS version you have in Settings > General > About and we'll look further into this with you there.",charging_issue
New update still doesn t address the massive battery drain issue. Please fix ASAP.,We'd like to help. DM us details of the issues you're having with your iPhone's battery and how long you've had the latest update.,battery_issue
why does it say I need to verify my billing info for free apps??,Have you used your Apple ID with the iTunes Store before? Let us know in DM and we'll look into this more.,billing_refund
Hey 11.0.3 is cutting my battery life by 90%!!! Fix this before I have to go Android shopping please,We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in?,battery_issue
I purchased a new MacBook Pro yesterday 10-7-17 at the Northpark location. The left shift key does not work. can I get refund,Hi! Our MacBooks come with a 14 day return policy.,billing_refund
why does my almost-new iPhone go from 100% charge to dead in less than 20 minutes? This is unacceptable.,We can help. Try following these steps and DM us what iPhone you are using if you still have issues:,device_setup
"My iPhone X does not have all of my most recent photos stored on iCloud. It does have both ""iCloud Photo Library"" and ""Upload to my Photo Stream"" enabled. Help! I want to see my latest photos...","Hello there. Let's find your photos so you can enjoy them at a glance. In Settings > Photos is Optimize iPhone Storage checked? And is Photos on in iCloud Settings? If yes, our Photo Specialists can help you here:",icloud_sync
My iPhone is complete shit. Switches off at 80% battery. What should I change to people?,"Let s look into this together. DM us the version of iOS your iPhone is on, and we ll take it from there.",battery_issue
"hey guys, good morning, I wish you guys could update all the apps to the new version of IOS 11.1.2, it s very bad for me not been able to use the apps I ve payed for, it has been more than month without updates for the apps.",We'd like to look into your apps not updating properly. DM us which apps you're having issues with and we'll get started.,software_update
This fucking update USE to be my favorite and now ALL of my FUCKING APPS ARE FREEZING FIX IT,Let's help you get this sorted. Please DM us and we can go from there.,software_update
Since this new iPhone update my phone is nothing but a piece a crap. Never had I had a phone so slow skinny the simplest tasks,We'd be happy to assist with your iPhone today. Send us a DM to get started.,device_setup
"yet again after another update, my ipod touch will not sync with my laptop and half my artwork is gone. Where can I get help with, and please, don't suggest a genius bar as they were hopeless!","Hello. You've reached the right place for help. Based on what you've described this issue is software-related. So let's tackle it together. First, which OS version are you running on your iPod Touch and your laptop? Is iTunes up-to-date?",icloud_sync
"No luck. Updated to iOS 11.1.2 any my iPhone 6 still shuts off at 32%, and after I plug it in for a recharge, it indicates 44% charged. Not really a mobile device if I m plugged in all the time.",Let's continue the conversation in DM.,charging_issue
Found out I ve been paying $14.99 every month of HBO NOW thru when I cancelled this subscription like 5 months ago. Could ve been watching GOT. Damn,We understand the importance of canceling recurring subscriptions you didn't plan to continue. Is the subscription still showing as active in Settings > [your name] > iTunes & App Store? Does it show in recent purchases as described here:,billing_refund
"Hi - When it stops charging, disconnecting the smart connector makes no difference, you have to disconnect & reconnect the charging cable to get it to start charging again. Have cleaned charging socket & tried different charging cable.","Got it. Are you using the iPad Pro Smart Keyboard, or are you using another accessory? Have you had the opportunity to test your iPad Pro with another accessory that uses the Smart Connector? Let us know via a DM. We ll keep moving from there.",charging_issue
worst update ever. 80 down to 33% battery life in 30 minutes??? WTAF?! Shove your OS update!,That's not the experience we want. Let's look into this together. Send us a DM with the iOS version number. You can find it under Settings > General > About.,battery_issue
excited to get my new iPhone X. Let my little boy set up. Didn t appreciate the cut from the sim key. Sharp and dangerous,We'd like to discuss this further. Send a DM and tell us if you are referring to the SIM card tray or the SIM ejector tool. We'll take it from there.,device_setup
"I went to U2 show yesterday and wasn t possible to sync my photos to iCloud before my iPhone broken. I mean, I lost everything!!",Which country are you located within? Please DM us here:,icloud_sync
"Well, this is an iCloud + email thing so it affects all devices and their most current versions.","Just to clarify, what kind of email are we working with? Let us know in DM so we may better advise you.",icloud_sync
I think you guys have been hacked I ve NEVER had this many issues with a iPhone EVER....,We want to help! What iOS version is currently installed on your device?,account_security
how do I delete card details from an Apple ID,We can help. Removing payment info can be done by following the steps in this article:,apple_id_login
need help with a charging problem,We can certainly take a look. Which device are you needing help with and what happens when charging it?,charging_issue
It's saying that it's gonna check if the watch need an updateThe watch is update but nothing change and it's saying that the update is done.,Let's go ahead and move to DM so we can look further into this.,software_update
icloud email you can't send attachments? why & how? thanks,"We can definitely offer some guidance on this. The following article has the instructions for how to add an attachment to an iCloud email: If you have any questions, let us know.",icloud_sync
"iPhone 6 crashed. Couldn't find anything online about it because I'm 9 hrs ahead. Tried restoring phone, I'm locked out of my iCloud bc I'm not in the states and don't have my phone number to verify. I legit thought phone was hacked",Thanks for reaching out about your particular situation. Let s work together to get this addressed. Are you presented with a Didn t Get a Code option when you attempt to sign in? Let us know via a DM. We ll keep moving from there.,account_security
y all really need to fix the iOS 11.0.3 update my poor battery,"Let's work on a solution together. To start, please DM us with the country where you're located.",battery_issue
ive update my ipad air to ios 11 and its sooooo slow. Ive reboooted it. Is there any wsy i can downgrade it to ios 10?,"That's a great question. We do not support returning to a prior iOS, we can certainly look into this issue. Join us in a DM here:",software_update
why is the battery of my iPhone acting up ever since that upgrade?,"Thanks for reaching out to us today. We ve received your DM, and will continue working from there. Be on the lookout for our response.",battery_issue
"Charging with this accessory is not supported IT S YOUR OFFICIAL CABLE THAT CAME WITH THE WATCH,",Let's look into this together. Has your Apple Watch been restarted since you first received this message?,charging_issue
iOS 11 is trash. My phone bugs out more then ever.,"We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist.",software_update
"Why does the touch function on #iPhone work on most apps and AppStore, but never when I want to unlock my phone? #annoying","Hi there. We'd like to help. Check out this article under ""if our display doesn't respond to touch:"" Let us know if this helps.",app_store
I don t know which is at fault yet but the iPhone7 and BeatsSolo2 don t play well together. My music is constantly interrupted by a technical fault. It s deeply frustrating. I suspect it s to do with earphones sharing with the charger port or a faulty wire?,We can help you get to the bottom of this. Have you been able to test the Beats with another audio source to see if the issue persists?,charging_issue
Hi my iPhone 8+ (ios11.1) app Store Downloads are super slow too. Wifi w/ Full Connection,Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together.,app_store
i think it s someone wanna hack my account!! right,That doesn't appear to be from us. Check out our page on phishing:,account_security
"I love iPhones but is fucking bullshit. If I wasn t $700 in on this piece of freezing garbage I call my new phone, I would probably switch to something else.","We'd love to continue working with you! Please send us a DM, and we'll continue working to resolve this together.",software_update
"I really need help with my Apple ID. The phone number linked to it is no longer mine and hasn t been for some time, this person can access my account. I cannot change it myself, I ve done everything listed with no luck. Please help! My account is compromised.",Thanks for providing that information. We are unable to look into your Apple ID account via Twitter for privacy concerns. We recommend reaching out to our Account Security for a path towards resolution:,account_security
saludos y buen d a al hacer respaldo en ICloud de guarda tambi n Whatsapp? Tengo problema con equipo,We offer support via Twitter in English. Get help in Spanish here: or join,icloud_sync
I need help how can I download my music from my iCloud?? Please guide me,"We want to help you get back to enjoying your music; we'll do all we can to help. To start, are you an Apple Music member?",icloud_sync
"Trying to update my credit card infos on my account (swiss french account), but I can't read this chinese-like menu...",We'd love to help. What device are you updating your payment info from? Are you updating info from within iTunes?,billing_refund
I think their is a scam happening. I received this text and a phone call immediately. Didn t answer the call.,Let s take a closer look into this together. Send us a DM to continue.,account_security
your new IOS is a piece of . It runs off the battery off my iPhone really fast.,We're glad you've reached out about the issues you're experiencing on your iPhone. We'd be overjoyed to help get things working as expected again. Which version of iOS is installed in Settings > General > About? Please DM us.,battery_issue
please fix the latency in AirPods it s so distracting I can t use them because of it. Unacceptable for the price,We'd like to help. Tell us more about the latency issues you're experiencing with the AirPods in DM. We'll go from there.,device_setup
"appears you have a Game Center outage. Can t log in, getting cannot connect to server errors",You've come to the right place for help! Let's look into this further. Send us a DM telling us how long you've been seeing this message along with the country you're located in.,apple_id_login
thanks for my wake up call from my iPhone charger today giving me an electric shock when I touched it and it burning,"This is certainly something we want to address today. Please, join us in DM below so we can gather more details to get started.",charging_issue
I m guessing this is not from you and is some sort of attempt to hack my phone?,"Hey, we can help with that alert. Send us a DM and we'll go from there.",account_security
Yes and now it s charging really slowly,What type of charger and cable are you using?,charging_issue
Since ios 11.0.1 I noticed that Bluetooth gets enabled after some time if not totally disabled,We can explain. Disabling Bluetooth/Wi-Fi in Control Center drops current connections. Use the Settings app to fully turn them off.,device_setup
showing downloaded but not on iPhone or iCloud help!,We'd like to help. Have you checked to see if the album is hidden in your purchase history? Here's how to check: Let us know.,icloud_sync
I use hey siri to turn on Bluetooth and she says it already on when it isn't. So I have to go the command center to turn it on,We're happy to look into this with you. Which device are you using with Siri?,device_setup
one day last year my iMessage in my Mac stopped syncing with my phones contacts. It s really lame still can t fix it....,Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this with you.,icloud_sync
what if there was no mainscreen passcode?,If a device doesn't have a lock code then one wouldn't be requested. An Apple ID may be needed to disable iCloud based functions.,apple_id_login
I've been trying to reset my Apple ID password for about a week now and it won't let me?,Thanks for reaching out. DM us more info about your experience and we'll get you to the right spot.,apple_id_login
why do you require an update to payment info to download a free app??,"Even if it isn't being used for payment, your information helps tie you to your account for verification purposes, so it's important to keep it updated. If you have issues with specific payment methods, we advise contacting iTunes Store Support:",billing_refund
Hi.I can't sign in to facetime and imessage with my apple id on my macbook and my iphone.I need some help.please.Thank you,Thanks for reaching out. We'd be happy to help. Please join us in DM to so we continue assisting.,apple_id_login
"please help! My fathers iPhone 7plus is locked on the apple startup screen, he has done a hard reset, iTunes won t recognize the phone when plugged in and we can t get it to work.",We are here for you. Let's take a look at this further for you. Reach out to us in DM.,charging_issue
Siri keeps randomly popping up and my music keeps pausing and fast forwarding randomly when I have my headphones plugged in,"Let's help get this sorted out. Do you have a separate set of headphones to test with? If so, does the behavior persist?",charging_issue
when is the next update coming out to fix the damage 11.0.2 is causing?,We're here to help with any questions or concerns you have. Please DM us and we can go from there together.,software_update
my phone is fucking losing battery yet i m charging it get your shit together,We'd be happy to look into this wiht you more in detail. Please reach out to us via DM and we'll get started.,charging_issue
My phone has been on the charger for like 45 minutes and it's only on 5% wtf,Let's work on this together in DM. Follow us there using the link below:,charging_issue
Hi Apple. Why is your Bluetooth connection so terrible?,We'd like to look into the issues you're having with Bluetooth on your devices. Which devices are you using this with? What exactly are you seeing happen with that connection?,device_setup
"Original charger, USB port plug type thing, I tried changing chargers but it doesn t help",Let's move to DM and we'll take a closer look at what's going on with the charger.,charging_issue
Ipaid air 2 and ios 11.2 pb1,What happens when you restart your device? You can do that by using these steps: Share the results in DM.,software_update
it s a new phone and the first pair of sunglasses I tried don t work.,"Face ID works with many sunglasses. If you're wearing sunglasses designed to block certain types of light, then your sunglasses might be blocking the infrared light used by the TrueDepth camera. Try using Face ID without your sunglasses.",device_setup
what happened to the Favorites section in the iOS App Store app? There seems to be no way to access favorites nor a way to add apps to favorites from an iOS (11) device.,Check out the features available in the latest version of the App Store here: DM us with any questions.,app_store
iOS 11.0.2 bug report: Mail crashes / freezes when attempting to attach a single photo. #beta release again.,We'd like to help. Which device is this happening with? Let us know in DM.,software_update
"Hi, I'm trying to connect to icloud using cellular data on an iPhone 8 with IOS 11.0.3 and it's working only with WiFi.",Having access to your iCloud data is important! Let us know what happens when accessing iCloud over cellular in DM so we can help.,icloud_sync
Hello again. Today Bluetooth is back to not working. Unsure what made it work yesterday.,"To better assist you, let's continue the chat in DM.",device_setup
been on hold for 15 minutes... still haven t spoken to a human. Just need to know why I can t update my payment info.... so close to cancelling my iPhone x pre order,"We know how important it is to update your payment information and we're happy to do everything we can to help. To start, DM us with the country where you're located and device model you're using to update your payment information.",billing_refund
you really fucked up with ios11 nothing works right. Lag. Dead battery. How my iPhone 7 only a year old is lagging and dying,We're here to help you enjoy the battery life you expect. In Settings > General > About what iOS 11 version are you on? DM us here:,battery_issue
Ever since the update my phone can't even last the whole day with one charge. Ticks me right off.,This is not the experience we want you to have. Which iPhone model do you own?,software_update
"I have iCloud set up on my phone so why can I still not set it on my laptop, this message comes up","Let's take a look together as iCloud is a great feature to have, including on your Windows PC. Which version of Windows is it running? Any steps tried so far since this started?",icloud_sync
And Thry hung up on me I called back love apple products! but disappointed with their service tonight #AirPods,That's not the experience we want you to have and we're committed to resolving the issue. Meet us in DM with the link below.,device_setup
last night I updated the iOS on my iPhone 7. This morning I woke up to find that all my music had been wiped and the cloud backup does not exist. Nothing else from my cloud has been affected. Can you help?,That's not the type of experience that we'd like for you to have. Join us here in DM. We'll do everything that we can to get this sorted:,icloud_sync
"I have forgotten the password to the Icloud, the email I signed up with is also Icloud so that is my main issue.","Becuase we're unable to assist you with this via Twitter, we'd recommend reaching out to one of our Account Security Advisors here:",icloud_sync
4 weeks to expect an iPhone to deliver and now another 4 weeks for investigation cuz your UPS lost it #happyholiday #welostyourpackage #again #refund or send a new one ASAP and investigate on your own! #unreliableSERVICEs,We want to do everything we can to look into this with you. Could you join us in DM with more details on what's happening here with this iPhone delivery and we'll work from there?,billing_refund
are your servers down. Can t log on to iCloud and weird things happening with my Mac,All systems are a go here: DM us more info about the issues you're encountering and we'd be happy to take a closer look with you.,icloud_sync
When you have to always carry a charger because the battery dies in an hour ..... A mobile phone that s not a mobile phone,"We want to help you get the most from your iPhone battery. Send us a DM and tell us which country you're in and which device you're using, and we'll find the best options to assist you.",charging_issue
"Hi,I can t download apps from appstore with ipad or iphone with ios 11.0.2. Log off from appstore and can t login now.",Send us a DM and let us know more details. Include the country you're in. We'll do our best to help.,apple_id_login
dear apple my husbands phone has been hacked and they are asking for a payment in bitcoins. Please help resolve,Let's take a look into this together. DM us and we'll continue there.,account_security
So found out the new iPhone update now doesn t allow me to connect my phone to the car? what are you playing at,We want you to enjoy your iPhone wherever you're going. We'll do all we can to help. How are you trying to connect to your car?,device_setup
facing serious freezing & battery drain issues in #iphone7. Unable to send text msg from call list. Awaiting update to resolve these,We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance.,battery_issue
"Agree, ever since the update I ve had battery issues with my 7 Plus as well.",We'd like to help. Please meet us in DM and we'll take a look at this together.,battery_issue
Porque pongo mi ID de y contrase a y me dice que no se puede conectar y que lo intente de nuevo? Vaya mierda de #icloud,We offer support via Twitter in English. Get help in Spanish here: or join,icloud_sync
trying to pair Apple Watch serious 3 to an iPhone 7 keep getting losing signal can t pair,Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together.,device_setup
"PC and I m attempting to back it up and sync like I usually do once a week. No error messages, when I plug in the cable it asks for permission to access photos but that s it. It doesn t begin to automatically sync like it used to.","Thanks for that info. What type of content are you specifically attempting to sync to the device? Also, was the backup of your device successful?",icloud_sync
just plugged in my phone to charge and it won t stop vibrating from charging to not charging and back to charging again - I took it off the charger a minute ago,"We know how important it is to have your iPhone charging. Let s look into this further. Were you charging using the lightning to USB cable and power adapter, or through the USB port on a computer? Also, is it still vibrating as if it s trying to charge at this time?",charging_issue
how much is it to get the charging port fixed on a iPhone 5s?,We would love to work together with you on this particular issue. Meet us in DM with your country to get started:,charging_issue
why don t the activity rings on my Apple Watch sync with the Workout app for walking!?!!?,Let's look into this together. When you start walking do you start the workout in the Workout app? Here's an article to help with this:,icloud_sync
is icloud down? I can't login at on pc or sign in on a new iphone with multiple accounts.,We'd like to take a further look at this with you. Please meet us in DM to continue.,apple_id_login
When preordering an iPhone using the Apple Store App is it possible to pay with a payment plan rather than upfront? I'm in UK,"We'll point you in the right direction. For pre-order questions, get with Apple Online Store Support:",billing_refund
Aye y all are gonna need to send another update. Every time I type an I it ends up looking like this,"Let us know in DM if this occurs in specific applications, please.",software_update
Hi pls help. My phone starts&stops charging every 3 secs for 20 min when connected to MacBook. Could it harm phone s battery?,Let's take a look. Does it happen connected to an outlet? What about other USB ports on your computer? Let us know in DM.,charging_issue
"I am struggling to cancel my subscription of Kayla fitness , I am not getting any option anywhere and am being auto renewed",We'd love to help! You can change your subscription with these steps. Let us know if that helps.,billing_refund
"Useless error messages that provide no direction or context to a user, and can't lead to any further action, should not be showing up in integral software. #iCloud",Thanks for bringing this to our attention. We understand this is an issue for you and we ll do everything we can to get iCloud is working normally again. DM us and let us know what version of macOS you're using right now.,icloud_sync
My iPhone 6 is struck with Activation lock page after upgrade to IOS 11 Apple care is working on priority basis,We hear you and would like to help. Send us a DM and we can look into what's happened from there.,account_security
"Dear , iOS 11.0.3 sucks!!! Please fix the bugs or find any solution, anything I want to do takes ages to get it done.",We can definitely help you with any issues you're having. DM us and let us know what's happening specifically.,software_update
"Hi , please open up iPhone #NFC to support FIDO #U2F #2FA...cc",Apple certainly welcomes your suggestions. Here s a great link to submit feedback about this:,apple_id_login
Why is my phone being all weird ? question marks appearing when I type? Trying to get me to buy the new iPhone??,Thanks for reaching out! Try the steps in this article: Questions? DM,device_setup
my car all of a sudden does not automatically play my Apple Music when connected via Bluetooth since updating to #iOS11 I have to click play on my iPhone - v annoying. Help.,We'd like to look into this with you. Has your iPhone been restarted since you noticed this issue? Let us know in DM.,device_setup
Yes. I ve restarted multiple times & now I restarted in recovery mode & I m attempting to reinstall macOS high sierra,Let us know if the issue remains after you try the reinstall.,software_update
Macbook Pro(Early 2015) with recent High Sierra Version Safari is crashing 5-10 sek after start. Not able to work. Re-installed MacOS from the scratch. No impact. Parallely the iCloud music library can t sync. please fix!,"We're here to help! When you say that you reinstalled the macOS from scratch, did you perform a clean install without restoring any data after?",icloud_sync
please let me know when you plan to fix these system wide issues with #iPhoneX :1) AirPods won t work 2) calls go to VM,We'd be happy to help you fix your issues today. Send us a DM to get started.,device_setup
Dear iPad. STOP shutting yourself off!! Stupid! ...GET IT TOGETHER!! I m trying to love you but you re being too bougie charging a kidney for things that don t work! #apple #ipad #air #shuttingdown #yesiresetit,"We want you to have a good experience with your iPad, and we're here to help. Does the iPad shut off and you have to manually turn it back on with the Sleep/Wake button?",charging_issue
"What is wrong with ""Manage your Apple ID"" localization?",We d like to help figure this out. In order to look at your account further please reach out to us here:,apple_id_login
"I've tried updating, an apple store, changing apple ID/password, and countless online tips, I can get nothing to fix this on my macbook and its been happening for almost a year",We want to help. Have you attempted to connect to Messages or FaceTime while connected to a different network? Reach out via DM and let us know.,apple_id_login
everytime a new iphone come out my joint start fucking up im hipp to yall hoe asses,We'd love to assist you with any issues you're having. Click here to tell us what's happening to us in DM:,device_setup
my App Store isn t working and won t download new apps or updates. Constant circle as below... can you help please?,We're here for you. Which iPhone do you have and what's the iOS version? Settings > General > About.,app_store
"#iPhoneBattery saga update. As I was typing a text to hubby just now, I watched my battery go from 20% to 13%. It s not even 1pm. Barely used my phone today. A few texts, checked email sent a few tweets. Yet in the past hour, my battery went from 64% to 13%. #iPhone6sPlus",We can take a look at this with you. Let's meet in DM where we can go into more detail. Thanks!,battery_issue
Worst battery backup and unresponsive display in 5S and 6S with iOS 11 update. Please fix this issue ASAP,"That's not the experience we want you to have. DM us using the link below, we'll work together from there.",battery_issue
6 attempts to change my Apple account password and getting absolutely nowhere ... password change successful but still can t sign in?,We can help you with logging into your Apple ID. Where are you being asked to sign in?,apple_id_login
Charger just randomly exploded six seconds after I plug it in. Cracked my screen. Blew out half of my phone speaker. ...and I just got this phone in March! . What. The. Fudge? #currentlynopowerinthehouse,"Thank you for reaching out to us about this. So we can gather a few details, please send us a DM using the link below.",charging_issue
"Hi, since 09/27/17 I'm waiting for a refund. Polo Park-MB-CA didn't solve my problem. Somebody can help me?",We'd be happy to look into your situation. Please DM us here:,billing_refund
My family has had so many issues with #icloud why does it have to be so hard? your support page is useless #fixiCloud,We re here to help with any iCloud issues you re having. What s going on exactly? Which services are affected?,icloud_sync
So my MacBook Pro charger just exploded on me,That's certainly not what we'd expect to happen and we'd like to hear more about this. Please DM us and we'll go from there.,charging_issue
